Name,Rating,Cuisine,Rate,Link,City
Literature Coffee,3.9,"Cafe, Coffee, Tea, Shake, Beverages",₹500 for two,https://www.zomato.com/ahmedabad/literature-coffee-airport-gandhinagar-highway-gandhinagar/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Crush Coffee,-,"Cafe, Shake, Beverages, Desserts",₹600 for two,https://www.zomato.com/ahmedabad/crush-coffee-1-thaltej/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Breco,3.9,"Cafe, Beverages, Desserts",₹600 for two,https://www.zomato.com/ahmedabad/breco-navrangpura/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Brewgarten,-,"Cafe, Coffee, Tea, Beverages, Shake, Desserts",₹600 for two,https://www.zomato.com/ahmedabad/brewgarten-1-bopal/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Shake Hunter,-,"Cafe, Shake, Beverages",₹300 for two,https://www.zomato.com/ahmedabad/shake-hunter-paldi/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Novelchef Cafe & Lounge,4.4,"Cafe, Continental, Italian, Fast Food, Desserts, Beverages",₹950 for two,https://www.zomato.com/ahmedabad/novelchef-cafe-lounge-gulbai-tekra/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Cafe Piano - The Grand Bhagwati,4.1,"Cafe, North Indian, Continental, Italian, South Indian, Fast Food, Desserts, Beverages","₹1,100 for two",https://www.zomato.com/ahmedabad/cafe-piano-the-grand-bhagwati-bodakdev/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Riverside Deli,3.8,"Cafe, Coffee, Fast Food, Shake, Beverages",₹900 for two,https://www.zomato.com/ahmedabad/riverside-deli-1-ashram-road/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Hobnob Bistro,3.6,"North Indian, Cafe, Italian, Chinese, Desserts, Shake, Beverages","₹1,000 for two",https://www.zomato.com/ahmedabad/hobnob-bistro-bodakdev/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Muse,3.7,"Cafe, North Indian, Fast Food, Continental",₹950 for two,https://www.zomato.com/ahmedabad/muse-bodakdev/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
The Greenstraw House,4.1,"Cafe, Fast Food, Tea, Beverages, Shake",₹600 for two,https://www.zomato.com/ahmedabad/the-greenstraw-house-ashram-road/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
D' Caf,4.3,"Cafe, Beverages, Sandwich, Pizza, Wraps, Pasta, Fast Food, Desserts",₹800 for two,https://www.zomato.com/ahmedabad/d-caf-c-g-road/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Fozzie's Pizzaiolo,4.2,"Cafe, Coffee, Pizza, Pasta, Mexican, Italian, Desserts, Beverages",₹500 for two,https://www.zomato.com/ahmedabad/fozzies-pizzaiolo-1-bodakdev/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Mleko,4.6,"Cafe, Coffee, Bakery, Fast Food, Continental, Desserts, Beverages",₹500 for two,https://www.zomato.com/ahmedabad/mleko-navrangpura/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Cafezza,-,"Cafe, Coffee, Tea, Juices, Sandwich, Pizza, Fast Food, Desserts","₹1,100 for two",https://www.zomato.com/ahmedabad/cafezza-airport-gandhinagar-highway-gandhinagar/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Mexicano By The Bay,3.3,"Cafe, Mexican, Italian, Fast Food, Beverages",₹950 for two,https://www.zomato.com/ahmedabad/mexicano-by-the-bay-ashram-road/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
Grace Coffee Co.,4.3,"Cafe, Sandwich, Wraps, Italian, Beverages",₹500 for two,https://www.zomato.com/ahmedabad/grace-coffee-co-1-thaltej/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
VarieTea,4.0,"Cafe, Coffee, Tea, Shake, Beverages, Italian, Sandwich, Fast Food",₹950 for two,https://www.zomato.com/ahmedabad/varietea-bodakdev/info?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2FmZSIsImRpc2hfaWRzIjpbXSwiY3Vpc2luZV9pZHMiOlsiMzAiXX19,ahmedabad
